name_last,name_first,key_bbref,full_name
alou,moises,aloumo01,moises alou
alou,matty,alouma01,matty alou
alou,felipe,aloufe01,felipe alou
alou,jesus,alouje01,jesus alou
alston,tom,alstoto01,tom alston
alston,dave,,dave alston
alston,garvin,alstoga01,garvin alston
alston,walter,alstowa01,walter alston
alston,dell,alstode01,dell alston
altamirano,porfi,altampo01,porfi altamirano
altavilla,dan,altavda01,dan altavilla
alten,ernie,altener01,ernie alten
altenburg,jesse,altenje01,jesse altenburg
altherr,aaron,altheaa01,aaron altherr
altizer,dave,altizda01,dave altizer
altman,george,altmage01,george altman
altman,billy,,billy altman
altobelli,joe,altobjo01,joe altobelli
altrock,nick,altroni01,nick altrock
altuve,jose,altuvjo01,jose altuve
alusik,george,alusige01,george alusik
alvarado,josé,alvarjo03,josé alvarado
alvarado,luis,alvarlu01,luis alvarado
alvarez,r. j.,alvarrj01,r. j. alvarez
alvarez,juan,alvarju01,juan alvarez
alvarez,henderson,alvarhe01,henderson alvarez
alvarez,ossie,alvaros01,ossie alvarez
alvarez,jose,alvarjo02,jose alvarez
alvarez,yordan,alvaryo01,yordan alvarez
alvarez,clemente,alvarcl01,clemente alvarez
alvarez,tony,alvarto01,tony alvarez
alvarez,eddy,alvared01,eddy alvarez
alvarez,abe,alvarab01,abe alvarez
alvarez,dario,alvarda01,dario alvarez
alvarez,victor,alvarvi01,victor alvarez
alvarez,tavo,alvarta01,tavo alvarez
alvarez,wilson,alvarwi01,wilson alvarez
alvarez,gabe,alvarga01,gabe alvarez
alvarez,orlando,alvaror01,orlando alvarez
alvarez,rogelio,alvarro01,rogelio alvarez
alvis,max,alvisma01,max alvis
alvord,billy,alvorbi01,billy alvord
alyea,brant,alyeabr01,brant alyea
alzolay,adbert,alzolad01,adbert alzolay
amalfitano,joey,amalfjo01,joey amalfitano
amaral,rich,amarari01,rich amaral
amarista,alexi,amarial01,alexi amarista
amaro,ruben,amaroru02,ruben amaro
amaro,ruben,amaroru01,ruben amaro
ambler,wayne,amblewa01,wayne ambler
ambres,chip,ambrech01,chip ambres
ambriz,hector,ambrihe01,hector ambriz
amburgey,trey,amburtr01,trey amburgey
amelung,ed,amelued01,ed amelung
ames,steve,amesst01,steve ames
ames,red,amesre01,red ames
amezaga,alfredo,amezaal01,alfredo amezaga
amole,doc,amoledo01,doc amole
amor,vicente,amorvi01,vicente amor
amoros,sandy,amorosa01,sandy amoros
ancker,walter,anckewa01,walter ancker
andersen,larry,anderla02,larry andersen
anderson,bubbles,anderbu02,bubbles anderson
anderson,craig,andercr01,craig anderson
anderson,cody,anderco01,cody anderson
anderson,wingo,anderwi01,wingo anderson
anderson,brian,anderbr06,brian anderson
anderson,hal,anderha01,hal anderson
anderson,rick,anderri01,rick anderson
anderson,tanner,anderta01,tanner anderson
anderson,dwain,anderdw01,dwain anderson
anderson,chase,anderch01,chase anderson
anderson,kent,anderke01,kent anderson
anderson,fred,anderfr01,fred anderson
anderson,garret,anderga01,garret anderson
anderson,john,anderjo02,john anderson
anderson,lars,anderla03,lars anderson
anderson,harry,anderha02,harry anderson
anderson,andy,,andy anderson
anderson,c.,anderc02,c. anderson
anderson,brady,anderbr01,brady anderson
anderson,roland,anderro01,roland anderson
anderson,larry,anderla01,larry anderson
anderson,tyler,anderty01,tyler anderson
anderson,brian,anderbr02,brian anderson
anderson,bryan,anderbr05,bryan anderson
anderson,goat,andergo01,goat anderson
anderson,dave,anderda02,dave anderson
anderson,scott,andersc01,scott anderson
anderson,orinthal,anderor01,orinthal anderson
anderson,bill,anderbi02,bill anderson
anderson,marlon,anderma02,marlon anderson
anderson,fast ball,anderfa01,fast ball anderson
anderson,jason,anderja01,jason anderson
anderson,sparky,andersp01,sparky anderson
anderson,tim,anderti01,tim anderson
anderson,allan,anderal02,allan anderson
anderson,ferrell,anderfe01,ferrell anderson
anderson,lewis,anderle01,lewis anderson
anderson,bud,anderbu01,bud anderson
anderson,drew,anderdr01,drew anderson
anderson,brett,anderbr04,brett anderson
anderson,walter,anderwa01,walter anderson
anderson,jimmy,anderji02,jimmy anderson
anderson,bill,anderbi01,bill anderson
anderson,john,anderjo01,john anderson
anderson,ian,anderia01,ian anderson
anderson,matt,anderma01,matt anderson
anderson,rick,anderri02,rick anderson
anderson,dave,anderda01,dave anderson
anderson,brian,anderbr03,brian anderson
anderson,bill,robinbi01,bill anderson
anderson,bob,anderbo01,bob anderson
anderson,varney,anderva01,varney anderson
anderson,,ander07,
anderson,andy,anderan01,andy anderson
anderson,fireman,anderbi03,fireman anderson
anderson,red,anderre01,red anderson
anderson,nick,anderni01,nick anderson
anderson,alf,anderal01,alf anderson
anderson,george,anderge01,george anderson
anderson,josh,anderjo03,josh anderson
anderson,drew,anderdr02,drew anderson
anderson,mike,andermi01,mike anderson
anderson,ollie,,ollie anderson
anderson,bobby,anderbo02,bobby anderson
anderson,mike,andermi02,mike anderson
anderson,justin,anderju01,justin anderson
anderson,shaun,andersh01,shaun anderson
anderson,jim,anderji01,jim anderson
andino,robert,andinro01,robert andino
andrade,steve,andrast01,steve andrade
andre,john,andrejo01,john andre
andreoli,john,andrejo03,john andreoli
andres,ernie,andreer01,ernie andres
andress,brad,,brad andress
andress,bill,,bill andress
andrew,kim,andreki01,kim andrew
andrews,wally,andrewa01,wally andrews
andrews,ed,andreed01,ed andrews
andrews,ivy,andreiv01,ivy andrews
andrews,shane,andresh01,shane andrews
andrews,,andre06,
andrews,john,andrejo02,john andrews
andrews,jeff,,jeff andrews
andrews,elbert,andreel01,elbert andrews
andrews,clayton,andrecl01,clayton andrews
andrews,jim,andreji01,jim andrews
andrews,fred,andrefr01,fred andrews
andrews,mike,andremi01,mike andrews
andrews,nate,andrena01,nate andrews
