name_last,name_first,bpid,key_mlbam,key_bbref,key_fangraphs,mlb_played_last
Ake,John,18360,110099,akejo01,1000095,1884
Aker,Jack,18361,110100,akerja01,1000097,1974
Akerfelds,Darrel,18362,110101,akerfda01,1000096,1991
Akers,Bill,18363,110103,akersbi01,1000098,1932
Akers,Jerry,18364,110102,akersje01,1000099,1912
Akin,Keegan,108818,669211,akinke01,19362,2021
Akiyama,Shogo,111605,673451,akiyash01,27461,2021
Alaniz,R.J.,68071,595798,alanirj01,10819,2021
Alba,Gibson,18365,110104,albagi01,1000100,1988
Albaladejo,Jonathan,46956,452293,albaljo01,3521,2012
Albanese,Joe,18366,110105,albanjo01,1000101,1958
Alberro,Jose,16671,110106,alberjo01,1000105,1997
Albers,Andrew,52617,452027,alberan01,7853,2021
Albers,Matt,31948,458006,alberma01,4300,2019
Albert,Jeff,111629,527982,,-1,
Alberto,Hanser,67418,593643,alberha01,11902,2021
Alberts,Butch,18367,110108,alberbu01,1000102,1978
Alberts,Cy,18368,110109,albercy01,1000103,1910
Alberts,Gus,18369,110107,albergu01,1000104,1891
,,,-1,alberjo02,-1,1937
Albies,Ozzie,104004,645277,albieoz01,16556,2021
Albosta,Ed,18370,110110,albosed01,1000106,1946
Albrecht,Ed,18371,110111,albreed01,1000107,1950
Albright,Jack,18372,110112,albrija01,1000108,1947
,,,-1,albrith01,-1,1936
,,,-1,albrial01,-1,1925
Alburquerque,Al,52489,456379,albural01,6324,2017
Albury,Vic,18373,110113,alburvi01,1000109,1976
Alcala,Jorge,105466,660896,alcaljo01,19459,2021
Alcala,Santo,18374,110114,alcalsa01,1000110,1977
Alcantara,Arismendy,66268,570489,alcanar01,10711,2017
Alcantara,Izzy,113,150161,alcanis01,1558,2002
Alcantara,Raul,67237,593417,alcanra01,12790,2017
Alcantara,Sandy,104002,645261,alcansa01,18684,2021
Alcantara,Sergio,103221,642727,alcanse01,16417,2021
Alcantara,Victor,100959,622505,alcanvi01,15028,2019
Alcaraz,Luis,18375,110115,alcarlu01,1000111,1970
Alcock,Scotty,18376,110116,alcocsc01,1000112,1914
Alderson,Dale,18377,110117,alderda01,1000113,1944
Aldred,Scott,16672,110118,aldresc01,1000115,2000
Aldrete,Mike,16673,110119,aldremi01,1000114,1996
Aldrich,Jay,18378,110120,aldrija01,1000117,1990
Aldridge,Cory,16674,400139,aldrico01,1405,2010
Aldridge,Vic,18379,110121,aldrivi01,1000118,1928
,,,-1,,-1,
